"{""Objective"":""Generate an ultra-realistic street-fashion portrait of a young man walking confidently outdoors based on the provided reference image."",""Scene_Description"":{""Environment"":{""Setting"":""Wet pavement near a modern café"",""Background"":{""Style"":""Blurred urban environment"",""Elements"":[""Palm tree"",""Orange and black road barriers"",""Soft urban structures""]},""Lighting"":{""Type"":""Warm natural sunlight"",""Effects"":[""Crisp shadows"",""Golden highlights on clothing and hair"",""Instagram-style warm color mood""]},""Atmosphere"":""Casual, stylish, modern street fashion""},""Subject"":{""Identity"":""Maintain facial features consistent with the provided reference image"",""Appearance"":{""Hair"":""Stylish, slightly messy natural hairstyle"",""Expression"":""Calm, confident""},""Pose"":{""Action"":""Walking confidently on wet pavement"",""Hands"":""Partially in pockets"",""Body_Language"":""Relaxed yet assured, modern fashion posture""}}},""Wardrobe"":{""Outfit"":{""Jacket"":""Beige jacket"",""Shirt"":""White T-shirt"",""Pants"":""Baggy olive jeans"",""Footwear"":""White sneakers""}},""Visual_Style"":{""Aesthetic"":""Instagram-style street fashion"",""Quality"":""Ultra-realistic with sharp details"",""Color_Profile"":""Warm sunlight tones with soft urban contrast"",""Detail_Characteristics"":[""Realistic fabric texture"",""Wet pavement reflections"",""Cinematic blur and depth"",""High clarity in subject’s face and clothing""]},""Output_Requirements"":{""Format"":""Image"",""Quality"":""High-detail, photorealistic, street-fashion editorial""}}",Image Generation / Fashion Photography
"{""scene"":{""location"":""Times Square, New York"",""time"":""Rainy night"",""composition"":{""left_side"":[{""type"":""LED billboard"",""style"":""vertical"",""text_color"":""white-on-black""},{""type"":""curved LED screen"",""detail"":""above yellow arrow for Hershey's store""}],""right_side"":{""subject_position"":""near curb"",""traffic"":{""vehicles"":""city taxis and cars"",""details"":""brake lights forming a slow line""}}},""environment"":{""ground"":""wet asphalt"",""reflection_colors"":[""neon magenta"",""icy blue""],""puddles"":{""reflecting_lights"":true,""object_details"":[""scattered takeaway cups""]},""atmosphere"":[""electric"",""intimate""]}},""subject"":{""identity"":""Uploaded subject"",""face_requirement"":""Do not change facial features. Must look 1000% identical."",""pose"":""Relaxed, facing camera"",""holding"":""Folded black umbrella by handle"",""outfit"":{""jacket"":{""material"":""black faux-leather varsity"",""design"":{""cobalt_panel"":true,""cream_stripe"":true,""embroidery"":""Vintage script"",""lettering"":""Block OF"",""patch"":""1987 stitched on sleeve"",""reflective_piping"":true,""highlight_color"":""purple reflection""}}}},""background"":{""elements"":[""cars"",""scaffolding"",""stacked storefront signs""]},""style"":{""resolution"":""HD"",""aesthetic"":[""realistic"",""natural"",""authentic""],""camera"":""iPhone""}}",Image Generation / Urban Night Portrait
"{""prompt"":""A stylish young woman with long blonde hair, wearing a black leather or faux-leather one-shoulder top and light-wash blue jeans, is sitting in the back seat of a luxury car at night. She is positioned facing toward the front of the car, slightly turned, and is using a white smartphone (likely an iPhone) to take a picture or video. The phone is resting on the top of the plush, light-colored (off-white or beige) leather headrest of the front passenger seat. The car's interior is clean and upscale, with visible electronic seat controls on the side of the seat. Through the car's window and sunroof, you can see a softly illuminated building exterior in a city setting, suggesting a high-end urban environment. The lighting is low and moody, coming primarily from streetlights and interior ambient car lighting, creating soft shadows and highlighting her makeup (red lipstick, winged eyeliner). The overall mood is chic, modern, and candid."",""style"":{""aesthetic"":""Candid, Cinematic, Lifestyle Photography"",""lighting"":""Low-light, Moody, Ambient Car Lighting, Nighttime Streetlight Glow"",""camera_settings"":""Shallow Depth of Field (focus on the subject and phone), High Detail, Rich Contrast"",""color_palette"":""Blacks, soft whites/beiges, muted blues, with pops of pink/red from the phone's screen light and lipstick""},""subject_details"":{""gender"":""Female"",""age_range"":""20s"",""hair"":""Long, straight, blonde, with a silver hair clip"",""clothing"":""Black one-shoulder top (leather/vinyl), light blue jeans"",""activity"":""Taking a picture/video with a smartphone"",""accessories"":""Delicate silver necklace, small silver hair clip""},""environment"":{""location"":""Back seat of a luxury car (e.g., Mercedes-Benz, BMW, or similar high-end vehicle)"",""time_of_day"":""Night"",""background_elements"":""Illuminated city building, car sunroof, light-colored leather interior""}}",Image Generation / Candid Lifestyle Photography
"{""subject"":{""primary"":""Legendary heavyweight boxer Mike Tyson, shaved head, iconic-style face pattern (non-identical)"",""action"":""Yelling with fists raised in a spontaneous high-energy moment"",""appearance"":""Sweaty skin, intense expression, raw physical power""},""scene"":{""environment"":""Urban street corner with bystanders filming on smartphones"",""elements"":""People reacting with shock and excitement, chaotic background"",""tone"":""Candid, unplanned, viral atmosphere""},""camera"":{""angle"":""Amateur smartphone close-up, slightly tilted"",""lens"":""Wide-angle phone lens with mild distortion"",""focus"":""Subject sharp, background blurred with motion""},""lighting"":{""type"":""Natural or street LED lighting"",""effects"":""Overexposed highlights, lens flare, harsh shadows""},""fx"":{""stylizations"":""Smartphone grain, motion blur, unstable exposure"",""atmosphere"":[""Dust in air"",""Phone flash reflections""]},""visualStyle"":{""render"":""Hyper-realistic amateur photo"",""palette"":""Neutral outdoor tones"",""grading"":""High contrast, slightly oversaturated""}}",Image Generation / Candid Celebrity Street Photo
"{""prompt"":""Hyperrealistic portrait of a young woman (female character) against a completely black background. Dark, dramatic, mysterious mood. Diagonal angled beam of light from top-left shining toward lower-right — the beam hits the long dark hair first, illuminating individual hair strands and creating scattered highlights; the light passes through hair strands and casts broken, irregular shadow patterns across the face (no straight horizontal light band). Hair: long, dark, slightly tousled with loose strands; some strands glow brightly where hit by the beam, other strands fade into deep shadow. Pose: one hand gently touching the lips, fingers relaxed and natural. Expression: eyes looking directly at the camera with a mysterious, quiet gaze. Skin: natural human skin texture with visible pores, micro-details, fine lines, soft imperfections, realistic subsurface scattering and true-to-life shading (no stylized smoothing). High falloff outside the beam — everything outside the illuminated diagonal area falls into deep darkness; sweater and torso blend into shadows. Composition: tight head-and-shoulders portrait, diagonal spotlight across hair and face, strong contrast, ultra-detailed. Camera: shallow depth of field, realistic lens bokeh on background (background completely black), subtle film grain for texture. Lighting specifics: angled top-left diagonal beam shaped by hair; beam edges irregular, hair-caused gobo-like shadows on cheek and lips; highlights on hair are strand-level; avoid even or flat fill light — preserve dramatic one-beam lighting. Style & rendering: hyperrealistic, photoreal detail, 8K ultra-detailed (very high resolution), realistic materials, natural color grading, cinematic contrast."",""negative_prompt"":""anime smoothness, plastic skin, overly stylized or cartoon rendering, flat lighting, straight horizontal light band, visible background elements, busy background, extra limbs, extra fingers, low detail, soft-focus over-blur, overexposed highlights, harsh clipping, unnatural eye shapes, exaggerated anatomy, watermark, text, signature, obvious 3D render artifacts, overly-saturated colors"",""resolution"":""7680x4320"",""aspect_ratio"":""16:9"",""quality"":""8K ultra-detailed"",""steps"":30,""sampler"":""Euler a"",""cfg_scale"":8.5,""seed"":null,""language"":""en"",""notes"":[""Ensure beam is diagonal and shaped by hair; do NOT use a straight horizontal light band."",""Prioritize strand-level highlights in hair and broken shadow patterns on face."",""Keep everything outside the beam in deep shadow; sweater should merge with background."",""Avoid anime-style smoothing — emphasize realistic skin micro-details and subsurface scattering.""]}",Image Generation / Dramatic Portrait
"{""subject"":{""description"":""A lone Viking survivor trekking through a burned Viking village"",""mirror_rules"":""Reflection on a shattered metal shield leaning against debris"",""age"":""late 30s"",""expression"":""fierce, exhausted, determined, eyes full of loss"",""hair"":{""color"":""dirty blonde"",""style"":""long, tangled, partially braided with frost gathering""},""clothing"":{""top"":{""type"":""fur-lined leather tunic"",""color"":""dark brown with faded red markings"",""details"":""cut marks, smoky residue, torn seams""},""bottom"":{""type"":""wool trousers"",""color"":""ashen grey"",""details"":""mud splatter, frayed edges""}},""face"":{""preserve_original"":true,""makeup"":""war paint smudged, dried blood, windburn, and ash""}},""accessories"":{""headwear"":{""type"":""none"",""details"":""hair partially covering forehead""},""jewelry"":{""earrings"":""none"",""necklace"":""hand-carved rune pendant"",""wrist"":""leather bracer with axe scrapes"",""rings"":""simple iron ring""},""device"":{""type"":""none"",""details"":""no modern tech""},""prop"":{""type"":""battle-worn Viking axe"",""details"":""blood stains, chipped blade, wrapped leather grip""}},""photography"":{""camera_style"":""Dark cinematic realism with subtle grain"",""angle"":""mid-wide shot, slightly low angle"",""shot_type"":""walking slowly toward camera, full body"",""aspect_ratio"":""16:9"",""texture"":""realistic weathering, crisp details, moody tones""},""background"":{""setting"":""ruined Viking settlement near a fjord"",""wall_color"":""charcoal wood and burned structures"",""elements"":[""collapsed longhouse"",""smoldering fire pit"",""abandoned shields and weapons"",""snow-covered mountains in the distance"",""ravens circling overhead""],""atmosphere"":""somber, cold, mythic survival energy"",""lighting"":""misty morning light, diffused and cold with pale highlights""}}",Image Generation / Historical Cinematic Scene
"{""subject"":""woman posing confidently against a pillar"",""outfit"":{""color"":""all black"",""top"":""long-sleeve sequined crop top with deep square neckline"",""bottom"":""high-waisted maxi skirt with high side slit"",""fabric"":""sequined / glitter fabric on top and upper skirt, matte flowy fabric on lower skirt"",""shoes"":""black pointed-toe high-heel sandals with ankle strap"",""accessories"":""sparkling choker necklace, ankle bracelet, large hoop earrings""},""pose"":""leaning back against white pillar with left hand, right leg bent and lifted, right hand resting on thigh"",""hair"":""dark brown, shoulder-length, loose waves"",""makeup"":""bold red lipstick, dramatic eye makeup, contoured cheeks"",""lighting"":""warm ambient evening lighting with bokeh lights in background"",""setting"":""indoor/outdoor architectural space with arches, columns, and soft overhead circular lights"",""mood"":""glamorous, seductive, high-fashion"",""overall_style"":""evening wear, red-carpet / gala look""}",Image Generation / Glamorous Fashion Portrait
"{""prompt"":""A premium cinematic portrait of a man with natural dark facial features, sitting relaxed on a long modern white sofa in a minimal luxury interior. He wears an all-black suit with the shirt slightly open for a stylish formal-casual balance. His left arm stretches along the backrest, right hand holding a matte black coffee cup, legs crossed confidently. Soft ambient window light creates gentle shadows without overexposing the skin. The background features sheer white curtains glowing subtly, and a white sculptural décor piece adds artistic elegance. Shot in DSLR clarity with luxurious high-end lifestyle aesthetics, cinematic lighting, sharp details, professional photography, 8k resolution"",""negative_prompt"":""blurry, low quality, overexposed, underexposed, distorted face, unnatural lighting, busy background, harsh shadows, grainy, amateur, cartoon, painting, 3d render"",""parameters"":{""aspect_ratio"":""9:16"",""style"":""photorealistic"",""lighting"":""soft cinematic"",""quality"":""ultra high"",""details"":""hyper realistic skin texture, sharp fabric details, atmospheric depth"",""camera"":""DSLR, 85mm lens, f/1.4 aperture""},""signature"":""Shreya Yadav"",""model_recommendation"":""Realistic Vision V5.1 or Juggernaut XL""}",Image Generation / Luxury Lifestyle Portrait
"{""scene_description"":""A dazzling, icy-themed mirror selfie of a stylish young woman in a Disney store, channeling a modern Frozen aesthetic."",""image_reference"":{""path"":""[UPLOADED_IMAGE]"",""weight"":""high"",""influence"":""face_and_body_structure""},""subject"":{""type"":""The woman from the uploaded image"",""age"":""match input image"",""features"":{""hair"":""loose platinum or cool-toned waves cascading over shoulders"",""expression"":""elegant smile, confident gaze into the mirror"",""makeup"":""shimmering silver eyeshadow, cool-toned highlighter, glossy pink lips""},""attire"":""a shimmering icy-blue corset top with intricate sequin detailing, a crisp white pleated tennis skirt, and sheer glittery opera gloves"",""accessories"":""a delicate silver crystal tiara, a rhinestone-encrusted phone case, a small Olaf plushie resting on the counter"",""position"":""standing elegantly with one hand on hip, holding phone with the other""},""action"":{""primary"":""taking a glamour shot in the mirror"",""secondary"":""showcasing the sparkle of the outfit"",""effect"":""glitter and sequins catching the light beautifully""},""environment"":{""setting"":""Disney store Frozen section"",""foreground_elements"":[""sparkly phone case"",""glass mirror surface"",""snowflake decorations""],""background_elements"":[""shelves filled with blue and white merchandise"",""castle displays"",""cool-toned LED retail lighting""]},""lighting"":{""style"":""Cool and Crisp High-Key"",""key_light"":{""type"":""Cool white softbox simulation"",""color"":""Ice blue/White"",""illuminates"":""the sequins on the corset and the subject's face""},""background_light"":{""color"":""Soft cyan backlighting""},""shadows"":""sharp, crisp reflections""},""style"":{""medium"":""Smartphone photography"",""aesthetic"":""Ice Princess Core, Luxury Teen, Sparkle Filter"",""quality"":""8k resolution, texture-focused (sequins/glitter)"",""details"":""ultra-detailed fabric textures""},""visual_description"":{""core_subject"":""A modern interpretation of a winter princess with high-fashion streetwear elements."",""attire_physics"":""The corset structure fits tightly, while the skirt pleats fall perfectly."",""skin_rendering"":""Porcelain smooth skin with a cold-weather flush.""},""lighting_and_atmosphere"":{""type"":""Winter Wonderland Indoors"",""specifics"":""Lens flares from the sequins (star filter effect)"",""color_grade"":""Cool blues, silvers, and crisp whites""},""attire_customization"":{""current_clothing"":""Icy-blue sequin corset, white tennis skirt, glitter gloves"",""customizable_clothing"":""Can be swapped for a long blue satin gown for a more formal look""},""camera_and_lens"":{""focal_length_feel"":""24mm Smartphone Wide"",""aperture_effect"":""f/1.8"",""camera_angle"":""Eye-level mirror reflection"",""lens_type"":""Modern digital lens"",""bokeh_style"":""Sparkly bokeh in background""}}",Image Generation / Themed Retail Photography
"{""image"":{""subject"":{""description"":""A young woman with long brown hair blowing in the wind, seen in profile."",""clothing"":""A purple knit sweater and a beige pleated skirt."",""action"":""Holding a mug with both hands and looking out at the view.""},""setting"":{""location"":""A balcony at night."",""background"":""A blurred city skyline with numerous warm bokeh lights from buildings and traffic. A string of warm fairy lights is draped on the glass railing."",""atmosphere"":""Contemplative, serene, and peaceful.""},""style"":""A photograph."",""text"":{""content"":""Shreya Yadav"",""location"":""Bottom right corner""},""filename"":""image_1.png""}}",Image Generation / Contemplative Portrait
"{""image_description"":{""face"":{""preserve_original"":true,""reference_match"":true,""description"":""Maintain the same facial features, natural expression, and identity from the uploaded image without altering structure or proportions.""},""photo_style"":{""type"":""natural outdoor portrait"",""camera_angle"":""close-up, slightly low angle"",""lighting"":""bright natural sunlight with warm highlights on skin"",""mood"":""fresh, tropical, radiant"",""depth_of_field"":""sharp subject, clear background""},""subject"":{""pose"":""raising one arm upward to touch the wooden roof structure, body angled slightly to the side"",""expression"":""soft, curious gaze looking off-camera"",""hair"":{""style"":""long dark, messy hairs"",""details"":""tucked behind ear with a flower accessory""},""accessories"":{""hair_flower"":""large white plumeria tucked behind the ear"",""necklace"":""thin gold chain necklace""},""clothing"":{""top_layer"":{""type"":""oversized beige button-up shirt"",""details"":""lightweight fabric, unbuttoned at the top"",""brand_logo"":""small embroidered Polo Ralph Lauren logo""},""inner_top"":{""type"":""animal-print crop top"",""details"":""visible under the open shirt""}}},""environment"":{""setting"":""tropical beach hut or seaside wooden cabana"",""background"":[""blue ocean water"",""bright sky with scattered clouds"",""distant city skyline and coastal buildings"",""wooden beams and thatched roofing above""],""atmosphere"":""sunny, warm, relaxed coastal vibe""},""aesthetic"":{""style"":""tropical vacation portrait"",""features"":[""sun-kissed skin"",""soft natural blush"",""vibrant coastal colors"",""laid-back holiday mood"",""clean and bright natural lighting""]}}}",Image Generation / Tropical Outdoor Portrait
