prompts,Metadata / Instruction
"A cyberpunk female assassin stands in the pouring rain, gripping a glowing red katana as neon lights reflect off the wet pavement. Her slick, drenched black outfit clings to her form while her futuristic goggles emit intense red illumination, casting a sharp glow across her face. Strands of wet hair frame her cold, focused expression as she prepares for confrontation. Behind her, a blurred figure approaches through teal and crimson bokeh, heightening the tension. Ultra-realistic lighting, dramatic rain streaks, high-contrast cyber-noir atmosphere, deep shadows, reflective surfaces, cinematic composition.",Image Generation / Cyberpunk Character
"Create an ultra-cinematic, warm-toned beach scene at sunset. Center a young beautiful asian woman standing confidently at the shoreline, looking straight into the camera with a calm, almost mythic energy. She has wet, wavy hair from the ocean breeze and wears a black asymmetrical bikini top paired with a flowing black skirt featuring a high slit. Add an orange, semi-sheer, patterned cover-up that drapes lightly over her arms. Use soft gold jewelry, small earrings and layered pendants, including one large spiral pendant that sits at her chest.

Behind her, show a group of horses running along the edge of the water, their hooves splashing through the waves. Include a mix of dark brown and white horses to give the moment that wild, untamed energy. Let the waves roll in softly with foamy textures, catching the golden sunlight.

Use gentle film-grain, soft contrast, and warm highlights to make the whole scene feel dreamy, earthy, and slightly vintage. Keep the focus sharp on the woman, with the horses and ocean slightly softer to create depth. Aim for a blend of serene and powerful, like a fantasy moment rooted in real-world nature.",Image Generation / Cinematic Beach Scene
"A stylish urban fashion photograph showcasing a modern outfit with an oversized hoodie featuring a vibrant gradient of colors transitioning from orange to purple and green. The look is completed with high-waisted black cargo pants, adding a utilitarian feel, and classic white sneakers, contributing to a balanced streetwear aesthetic",Image Generation / Urban Fashion Photography
"Nighttime flash photo with Y2K aesthetic, red digital timestamp in corner. Young woman at a public payphone, face based on uploaded image, turning back toward camera with a detached look. Wearing corset top and loose cargo jeans, nands in back pockets. Strong flash contrast and blurred car lights in urban background, raw early-2000s paparazzi vibe.",Image Generation / Y2K Style Portrait
"A 64K DSLR shot resolution of an A young woman (same face as the uploaded image) sitting on the floor against a solid green background. She has a relaxed and friendly expression, with a slight smile. She is wearing a white short-sleeve button-up shirt over a green top, green pleated pants, and white Nike
sneakers with green accents. She has white Nike crew socks with a black swoosh logo. She is accessorized with a colorful, patterned headscarf tied around her head, with some hair framing her face. Her pose is casual, with one arm resting on her knee and the other hand loosely clasped around her ankle. Her overall appearance exudes a stylish, sporty, and relaxed vibe. Octane render & Unreal Engine 5.",Image Generation / Ultra-realistic Portrait
"Uploaded Image with short curly hair, stubble, and a bright smile is taking a selfie in a well-lit living room. He is wearing a turquoise t-shirt and holding the camera slightly above eye level, creating a wide-angle effect. Surrounding him are several colorful cartoon and anime characters from different universes, drawn in distinct animation styles: a blue robotic cat, a yellow-haired ninja, a tall grey cat and a small orange cat, a nervous-looking slender man in a suit, a red-capped young anime trainer, and other expressive characters. They crowd around him enthusiastically, interacting with each other and reacting to the selfie. The characters are integrated convincingly into the real space, casting soft shadows on the furniture. Background shows a bright window with cream curtains and soft indoor lighting. The overall vibe is fun, chaotic, and energetic, with crisp detail and vibrant colors",Image Generation / Mixed Reality Selfie with Cartoon Characters
A high-quality photorealistic portrait of a young woman sitting on the edge of a swimming pool on a sunny day. She has voluminous long wavy hair styled with a white flower hair clip on one side. She is wearing a vintage-inspired matching two-piece set: a white sleeveless crop top with a delicate sky blue floral print and a prominent sky blue collar with a bow and a matching mini skirt. She is looking directly at the camera with a soft expression. The background features bright blue shimmering pool water and blurred tropical greenery. The lighting is bright and natural highlighting the details of her outfit and hair. 8k resolution cinematic lighting.,Image Generation / Photorealistic Outdoor Portrait
,
"A detailed gashapon capsule diorama held between fingers, featuring Cristiano Ronaldo in his iconic “Siuuu” celebration pose. Inside: he’s wearing a crisp Portugal kit, with realistic folds, studs, and cleats. The background shows a miniature stadium with blurred cheering fans and stadium lights. The capsule has a transparent dome and a bold deep-green base decorated with subtle patterns of footballs and Portuguese motifs. The base is labeled “CRISTIANO RONALDO” in athletic bold typography. Photorealistic detail, dramatic spotlight lighting, soft bokeh, square 1080x1080.",Image Generation / Sports Figurine Diorama
"xtreme wet close-up portrait. Young woman's face in profile (use uploaded pictures for proper reference) Dark wet hair naturally glued to the skin. Fine droplets of water and thin sweat glistening realistically on her face. Focus on bright natural green/hazel eyes with realistic reflection avoid excessive shine. Moist and shiny lips, soft natural texture. Soft lighting and cool shades with a light grey/white bokeh background colour. Keep same facial features.",Image Generation / Close-up Wet Portrait
